"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"II"	152.874	4.83702231	12.9472309	3300000	4	6
"Fe"	"II"	152.899	4.07605998	12.1850247	2400000	14	12
"Fe"	"II"	153.044	4.79323577	12.8944571	4.9e+07	8	8
"Fe"	"II"	153.162	4.79323577	12.8882321	2.4e+07	8	10
"Fe"	"II"	153.23	4.8178982	12.909265	1.1e+07	6	6
"Fe"	"II"	153.281	2.64185518	10.7305134	2.3e+07	4	6
"Fe"	"II"	153.986	4.0803055	12.132019	2700000	12	10
"Fe"	"II"	154.251	3.89161339	11.9294769	5e+06	6	8
"Fe"	"II"	154.477	3.90341906	11.9294769	1.7e+07	8	8
"Fe"	"II"	154.582	3.76769941	11.788336	6e+06	10	8
"Fe"	"II"	154.724	3.88869686	11.9019644	9e+06	4	6
"Fe"	"II"	154.78	3.89161339	11.9019644	1.5e+07	6	6
"Fe"	"II"	154.87	0.30129858	8.307007	3100000	8	6
"Fe"	"II"	154.96	5.20337749	13.2044447	5e+07	12	10
"Fe"	"II"	155.009	3.90341906	11.9019644	5e+06	8	6
"Fe"	"II"	155.027	0.23217279	8.2297382	9e+06	10	8
"Fe"	"II"	155.054	3.88869686	11.8849108	1.2e+07	4	4
"Fe"	"II"	155.063	3.8891925	11.8849108	9e+06	2	4
"Fe"	"II"	155.111	3.89161339	11.8849108	1.3e+07	6	4
"Fe"	"II"	155.117	3.9441623	11.9371037	2.8e+07	6	6
"Fe"	"II"	155.193	0.35186476	8.3408923	6e+06	6	4
"Fe"	"II"	155.236	5.23672772	13.2235251	3.2e+07	8	6
"Fe"	"II"	155.266	5.22157443	13.2068727	4e+07	10	8
"Fe"	"II"	155.272	3.88869686	11.8736657	2.1e+07	4	2
"Fe"	"II"	155.281	3.8891925	11.8736657	1.8e+07	2	2
"Fe"	"II"	155.313	5.22157443	13.2044447	1e+07	10	10
"Fe"	"II"	155.382	3.96737644	11.9466897	3.2e+07	8	8
"Fe"	"II"	155.472	5.24885175	13.2235251	2.2e+07	6	6
"Fe"	"II"	155.527	5.24885175	13.2207434	2.8e+07	6	4
"Fe"	"II"	155.561	5.23672772	13.2068727	1.8e+07	8	8
"Fe"	"II"	155.565	3.81430861	11.7842241	5e+06	8	6
"Fe"	"II"	155.634	5.25709365	13.2235251	4e+06	4	6
"Fe"	"II"	155.677	5.25709365	13.2212958	2.6e+07	4	2
"Fe"	"II"	155.688	5.25709365	13.2207434	2.6e+07	4	4
"Fe"	"II"	155.77	5.26187092	13.2212958	3.6e+07	2	2
"Fe"	"II"	155.781	5.26187092	13.2207434	5e+06	2	4
"Fe"	"II"	155.854	0.35186476	8.307007	3.1e+07	6	6
"Fe"	"II"	155.869	0.38651921	8.3408923	4.6e+07	4	4
"Fe"	"II"	155.909	0.23217279	8.184541	1.1e+08	10	10
"Fe"	"II"	155.927	5.48413599	13.4355903	7e+06	10	8
"Fe"	"II"	156.025	0.30129858	8.2477153	2e+07	8	6
"Fe"	"II"	156.227	0.9863338	8.9224918	1.9e+07	8	6
"Fe"	"II"	156.379	0.30129858	8.2297382	1.3e+08	8	8
"Fe"	"II"	156.536	0.38651921	8.307007	5e+06	4	6
"Fe"	"II"	156.635	2.54377802	10.4592796	5e+06	6	4
"Fe"	"II"	156.635	5.28894824	13.2044447	2.5e+07	8	10
"Fe"	"II"	156.682	0.23217279	8.1452725	5.2e+07	10	10
"Fe"	"II"	156.79	5.5891955	13.4968562	4700000	6	4
"Fe"	"II"	156.802	0.35186476	8.2589171	2.6e+07	6	4
"Fe"	"II"	156.968	0.23217279	8.1308918	2.3e+07	10	12
"Fe"	"II"	157.024	0.35186476	8.2477153	1.1e+08	6	6
"Fe"	"II"	157.05	4.79323577	12.6878163	2.5e+07	8	6
"Fe"	"II"	157.101	4.83702231	12.7290536	5.5e+07	4	2
"Fe"	"II"	157.106	1.04046986	8.932201	1.1e+07	6	4
"Fe"	"II"	157.3	1.04046986	8.9224918	5e+06	6	6
"Fe"	"II"	157.339	4.84893721	12.7290536	1.7e+07	2	2
"Fe"	"II"	157.383	0.35186476	8.2297382	1.5e+07	6	8
"Fe"	"II"	157.404	2.52186911	10.3987045	6.5e+07	12	10
"Fe"	"II"	157.477	0.30129858	8.1744466	9e+06	8	8
"Fe"	"II"	157.492	0.38651921	8.2589171	1.2e+08	4	4
"Fe"	"II"	157.542	4.8178982	12.6878163	1.4e+07	6	6
"Fe"	"II"	157.643	4.84893721	12.7137971	3.3e+07	2	4
"Fe"	"II"	157.717	0.38651921	8.2477153	1.7e+07	4	6
"Fe"	"II"	157.801	4.79323577	12.6502274	3.4e+07	8	8
"Fe"	"II"	157.813	1.09686139	8.9532696	1e+07	2	2
"Fe"	"II"	157.822	1.07624119	8.932201	7e+06	4	4
